longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,bedrooms_per_room,population_per_household,households_per_population,ocean_1H_OCEAN,ocean_INLAND,ocean_ISLAND,ocean_NEAR_BAY,ocean_NEAR_OCEAN,median_house_value_log
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,0.14659090909090908,2.5555555555555554,0.391304347826087,False,False,False,True,False,13.022766221635607
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,0.15579659106916466,2.109841827768014,0.4739691795085381,False,False,False,True,False,12.7896867284182
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,0.12951601908657123,2.8022598870056497,0.35685483870967744,False,False,False,True,False,12.771673345241355
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,0.18445839874411302,2.547945205479452,0.3924731182795699,False,False,False,True,False,12.740520064864135
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,0.1720958819913952,2.1814671814671813,0.4584070796460177,False,False,False,True,False,12.74315356270364
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,0.23177366702937977,2.139896373056995,0.46731234866828086,False,False,False,True,False,12.505069216944454
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,0.19289940828402366,2.1284046692607004,0.46983546617915906,False,False,False,True,False,12.608870867322864
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,0.22132731958762886,1.7882534775888717,0.5592048401037165,False,False,False,True,False,12.39421473013906
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,0.2602739726027397,2.026890756302521,0.49336650082918737,False,False,False,True,False,12.331387247601905
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,0.1992110453648915,2.172268907563025,0.46034816247582205,False,False,False,True,False,12.472662584630097
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,0.19709355131698456,2.263681592039801,0.44175824175824174,False,False,False,True,False,12.547891278953442
